#N	EVALS{+}	VIOL	E/I	HV	MTM	iLOC	IM	DIVFS	INTFS	RDC
1	1{1}	(0)	1	0(1)	1	0	1	0	0	0
1	7{7}	(0)	7	0(1)	3	1	2	0	0	0
2	7{7}	(0)	3	27.1389(1)	3	0	2	0	0	0
2	8{8}	(0)	4	27.1389(1)	1	1	3	0	0	0
3	8{8}	(0)	2	27.1485(1)	1	0	1	0	0	0
3	14{14}	(0)	4	27.1485(1)	2	1	1	0	0	0
4	14{14}	(0)	3	27.158(1)	2	0	1	0	0	0
4	15{15}	(0)	3	27.158(1)	1	1	2	0	0	0
5	15{15}	(0)	3	27.1676(1)	1	0	1	0	0	0
5	21{21}	(0)	4	27.1676(1)	2	1	1	0	0	0
6	21{21}	(0)	3	27.1771(1)	2	0	1	0	0	0
6	22{22}	(0)	3	27.1771(1)	1	1	2	0	0	0
7	22{22}	(0)	3	27.1867(1)	1	0	1	0	0	0
7	28{28}	(0)	4	27.1867(1)	3	1	2	0	0	0
8	28{28}	(0)	3	27.1963(1)	3	0	2	0	0	0
8	29{29}	(0)	3	27.1963(1)	1	1	3	0	0	0
9	29{29}	(0)	3	27.2059(1)	1	0	1	0	0	0
9	35{35}	(0)	3	27.2059(1)	3	1	2	0	0	0
10	35{35}	(0)	3	27.2155(1)	3	0	2	0	0	0
10	36{36}	(0)	3	27.2155(1)	1	1	3	0	0	0
11	36{36}	(0)	3	27.2251(1)	1	0	1	0	0	0
11	42{42}	(0)	3	27.2251(1)	2	1	1	0	0	0
12	42{42}	(0)	3	27.2347(1)	2	0	1	0	0	0
12	43{43}	(0)	3	27.2347(1)	1	1	2	0	0	0
13	43{43}	(0)	3	27.2443(1)	1	0	1	0	0	0
13	49{49}	(0)	3	27.2443(1)	2	1	1	0	0	0
14	49{49}	(0)	3	27.2539(1)	2	0	1	0	0	0
14	50{50}	(0)	3	27.2539(1)	1	1	2	0	0	0
15	50{50}	(0)	3	27.2635(1)	1	0	1	0	0	0
15	56{56}	(0)	3	27.2635(1)	1	1	1	0	0	0
16	56{56}	(0)	3	27.2732(1)	1	0	1	0	0	0
16	57{57}	(0)	3	27.2732(1)	1	1	2	0	0	0
17	57{57}	(0)	3	27.2828(1)	1	0	1	0	0	0
17	63{63}	(0)	3	27.2828(1)	1	1	1	0	0	0
18	63{63}	(0)	3	27.2924(1)	1	0	1	0	0	0
18	64{64}	(0)	3	27.2924(1)	1	1	2	0	0	0
19	64{64}	(0)	3	27.3021(1)	1	0	1	0	0	0
19	70{70}	(0)	3	27.3021(1)	2	1	1	0	0	0
20	70{70}	(0)	3	27.3118(1)	2	0	1	0	0	0
20	71{71}	(0)	3	27.3118(1)	1	1	2	0	0	0
21	71{71}	(0)	3	27.3214(1)	1	0	1	0	0	0
21	77{77}	(0)	3	27.3214(1)	1	1	1	0	0	0
22	77{77}	(0)	3	27.3311(1)	1	0	1	0	0	0
22	78{78}	(0)	3	27.3311(1)	1	1	2	0	0	0
23	78{78}	(0)	3	27.3408(1)	1	0	1	0	0	0
23	84{84}	(0)	3	27.3408(1)	2	1	1	0	0	0
24	84{84}	(0)	3	27.3504(1)	2	0	1	0	0	0
24	85{85}	(0)	3	27.3504(1)	1	1	2	0	0	0
25	85{85}	(0)	3	27.3601(1)	1	0	1	0	0	0
25	91{91}	(0)	3	27.3601(1)	2	1	1	0	0	0
26	91{91}	(0)	3	27.3698(1)	2	0	1	0	0	0
26	92{92}	(0)	3	27.3698(1)	1	1	2	0	0	0
27	92{92}	(0)	3	27.3795(1)	1	0	1	0	0	0
27	98{98}	(0)	3	27.3795(1)	2	1	1	0	0	0
28	98{98}	(0)	3	27.3892(1)	2	0	1	0	0	0
28	99{99}	(0)	3	27.3892(1)	1	1	2	0	0	0
29	99{99}	(0)	3	27.3989(1)	1	0	1	0	0	0
29	105{105}	(0)	3	27.3989(1)	2	1	1	0	0	0
30	105{105}	(0)	3	27.4086(1)	2	0	1	0	0	0
30	106{106}	(0)	3	27.4086(1)	1	1	2	0	0	0
31	106{106}	(0)	3	27.4184(1)	1	0	1	0	0	0
31	112{112}	(0)	3	27.4184(1)	2	1	1	0	0	0
32	112{112}	(0)	3	27.4281(1)	2	0	1	0	0	0
32	113{113}	(0)	3	27.4281(1)	1	1	2	0	0	0
33	113{113}	(0)	3	27.4378(1)	1	0	1	0	0	0
33	119{119}	(0)	3	27.4378(1)	2	1	1	0	0	0
34	119{119}	(0)	3	27.4476(1)	2	0	1	0	0	0
34	120{120}	(0)	3	27.4476(1)	1	1	2	0	0	0
35	120{120}	(0)	3	27.4573(1)	1	0	1	0	0	0
35	126{126}	(0)	3	27.4573(1)	2	1	1	0	0	0
36	126{126}	(0)	3	27.4671(1)	2	0	1	0	0	0
36	127{127}	(0)	3	27.4671(1)	1	1	2	0	0	0
37	127{127}	(0)	3	27.4768(1)	1	0	1	0	0	0
37	133{133}	(0)	3	27.4768(1)	1	1	1	0	0	0
38	133{133}	(0)	3	27.4866(1)	1	1	1	0	0	0
38	134{134}	(0)	3	27.4866(1)	1	2	2	0	0	0
39	134{134}	(0)	3	27.4963(1)	1	0	1	0	0	0
39	140{140}	(0)	3	27.4963(1)	1	1	1	0	0	0
40	140{140}	(0)	3	27.5061(1)	1	1	1	0	0	0
40	141{141}	(0)	3	27.5061(1)	1	2	2	0	0	0
41	141{141}	(0)	3	27.5159(1)	1	0	1	0	0	0
41	147{147}	(0)	3	27.5159(1)	2	1	1	0	0	0
42	147{147}	(0)	3	27.5257(1)	2	0	1	0	0	0
42	148{148}	(0)	3	27.5257(1)	1	1	2	0	0	0
43	148{148}	(0)	3	27.5355(1)	1	0	1	0	0	0
43	154{154}	(0)	3	27.5355(1)	1	1	1	0	0	0
44	154{154}	(0)	3	27.5453(1)	1	1	1	0	0	0
44	155{155}	(0)	3	27.5453(1)	1	2	2	0	0	0
45	155{155}	(0)	3	27.5551(1)	1	0	1	0	0	0
45	161{161}	(0)	3	27.5551(1)	4	1	3	0	0	0
46	161{161}	(0)	3	27.5649(1)	4	0	3	0	0	0
46	162{162}	(0)	3	27.5649(1)	1	1	4	0	0	0
47	162{162}	(0)	3	27.5747(1)	1	0	1	0	0	0
47	168{168}	(0)	3	27.5747(1)	3	1	2	0	0	0
48	168{168}	(0)	3	27.5846(1)	3	0	2	0	0	0
48	169{169}	(0)	3	27.5846(1)	1	1	3	0	0	0
49	169{169}	(0)	3	27.5944(1)	1	0	1	0	0	0
49	175{175}	(0)	3	27.5944(1)	4	1	3	0	0	0
50	175{175}	(0)	3	27.6042(1)	4	0	3	0	0	0
50	176{176}	(0)	3	27.6042(1)	1	1	4	0	0	0
51	176{176}	(0)	3	27.6141(1)	1	0	1	0	0	0
51	182{182}	(0)	3	27.6141(1)	2	1	2	0	0	0
52	182{182}	(0)	3	27.6239(1)	2	1	2	0	0	0
52	183{183}	(0)	3	27.6239(1)	1	2	3	0	0	0
53	183{183}	(0)	3	27.6338(1)	1	0	1	0	0	0
53	189{189}	(0)	3	27.6338(1)	1	1	1	0	0	0
54	189{189}	(0)	3	27.6436(1)	1	1	1	0	0	0
54	190{190}	(0)	3	27.6436(1)	1	2	2	0	0	0
55	190{190}	(0)	3	27.6535(1)	1	0	1	0	0	0
55	196{196}	(0)	3	27.6535(1)	4	1	3	0	0	0
56	196{196}	(0)	3	27.6634(1)	4	0	3	0	0	0
56	197{197}	(0)	3	27.6634(1)	1	1	4	0	0	0
57	197{197}	(0)	3	27.6733(1)	1	0	1	0	0	0
57	203{203}	(0)	3	27.6733(1)	1	1	1	0	0	0
58	203{203}	(0)	3	27.6831(1)	1	1	1	0	0	0
58	204{204}	(0)	3	27.6831(1)	1	2	2	0	0	0
59	204{204}	(0)	3	27.693(1)	1	0	1	0	0	0
59	210{210}	(0)	3	27.693(1)	4	1	3	0	0	0
60	210{210}	(0)	3	27.7029(1)	4	0	3	0	0	0
60	211{211}	(0)	3	27.7029(1)	1	1	4	0	0	0
61	211{211}	(0)	3	27.7128(1)	1	0	1	0	0	0
61	217{217}	(0)	3	27.7128(1)	3	1	2	0	0	0
62	217{217}	(0)	3	27.7228(1)	3	0	2	0	0	0
62	218{218}	(0)	3	27.7228(1)	1	1	3	0	0	0
63	218{218}	(0)	3	27.7327(1)	1	0	1	0	0	0
63	224{224}	(0)	3	27.7327(1)	3	1	2	0	0	0
64	224{224}	(0)	3	27.7426(1)	3	0	2	0	0	0
64	225{225}	(0)	3	27.7426(1)	1	1	3	0	0	0
65	225{225}	(0)	3	27.7525(1)	1	0	1	0	0	0
65	231{231}	(0)	3	27.7525(1)	4	1	3	0	0	0
66	231{231}	(0)	3	27.7625(1)	4	0	3	0	0	0
66	232{232}	(0)	3	27.7625(1)	1	1	4	0	0	0
67	232{232}	(0)	3	27.7724(1)	1	0	1	0	0	0
67	238{238}	(0)	3	27.7724(1)	3	1	2	0	0	0
68	238{238}	(0)	3	27.7823(1)	3	0	2	0	0	0
68	239{239}	(0)	3	27.7823(1)	1	1	3	0	0	0
69	239{239}	(0)	3	27.7923(1)	1	0	1	0	0	0
69	245{245}	(0)	3	27.7923(1)	3	1	2	0	0	0
70	245{245}	(0)	3	27.8023(1)	3	0	2	0	0	0
70	246{246}	(0)	3	27.8023(1)	1	1	3	0	0	0
71	246{246}	(0)	3	27.8122(1)	1	0	1	0	0	0
71	252{252}	(0)	3	27.8122(1)	3	1	2	0	0	0
72	252{252}	(0)	3	27.8222(1)	3	0	2	0	0	0
72	253{253}	(0)	3	27.8222(1)	1	1	3	0	0	0
73	253{253}	(0)	3	27.8322(1)	1	0	1	0	0	0
73	259{259}	(0)	3	27.8322(1)	3	1	2	0	0	0
74	259{259}	(0)	3	27.8422(1)	3	0	2	0	0	0
74	260{260}	(0)	3	27.8422(1)	1	1	3	0	0	0
75	260{260}	(0)	3	27.8522(1)	1	0	1	0	0	0
75	266{266}	(0)	3	27.8522(1)	3	1	2	0	0	0
76	266{266}	(0)	3	27.8622(1)	3	0	2	0	0	0
76	267{267}	(0)	3	27.8622(1)	1	1	3	0	0	0
77	267{267}	(0)	3	27.8722(1)	1	0	1	0	0	0
77	273{273}	(0)	3	27.8722(1)	3	1	2	0	0	0
78	273{273}	(0)	3	27.8822(1)	3	0	2	0	0	0
78	274{274}	(0)	3	27.8822(1)	1	1	3	0	0	0
79	274{274}	(0)	3	27.8922(1)	1	0	1	0	0	0
79	280{280}	(0)	3	27.8922(1)	3	1	2	0	0	0
80	280{280}	(0)	3	27.9022(1)	3	0	2	0	0	0
80	281{281}	(0)	3	27.9022(1)	1	1	3	0	0	0
81	281{281}	(0)	3	27.9122(1)	1	0	1	0	0	0
81	287{287}	(0)	3	27.9122(1)	3	1	2	0	0	0
82	287{287}	(0)	3	27.9223(1)	3	0	2	0	0	0
82	288{288}	(0)	3	27.9223(1)	1	1	3	0	0	0
83	288{288}	(0)	3	27.9323(1)	1	0	1	0	0	0
83	294{294}	(0)	3	27.9323(1)	3	1	2	0	0	0
84	294{294}	(0)	3	27.9424(1)	3	0	2	0	0	0
84	295{295}	(0)	3	27.9424(1)	1	1	3	0	0	0
85	295{295}	(0)	3	27.9524(1)	1	0	1	0	0	0
85	301{301}	(0)	3	27.9524(1)	2	1	1	0	0	0
86	301{301}	(0)	3	27.9625(1)	2	0	1	0	0	0
86	302{302}	(0)	3	27.9625(1)	1	1	2	0	0	0
87	302{302}	(0)	3	27.9725(1)	1	0	1	0	0	0
87	308{308}	(0)	3	27.9725(1)	2	1	1	0	0	0
88	308{308}	(0)	3	27.9826(1)	2	0	1	0	0	0
88	309{309}	(0)	3	27.9826(1)	1	1	2	0	0	0
89	309{309}	(0)	3	27.9927(1)	1	0	1	0	0	0
89	315{315}	(0)	3	27.9927(1)	2	1	1	0	0	0
90	315{315}	(0)	3	28.0028(1)	2	0	1	0	0	0
90	316{316}	(0)	3	28.0028(1)	1	1	2	0	0	0
91	316{316}	(0)	3	28.0129(1)	1	0	1	0	0	0
91	322{322}	(0)	3	28.0129(1)	2	1	1	0	0	0
92	322{322}	(0)	3	28.023(1)	2	0	1	0	0	0
92	323{323}	(0)	3	28.023(1)	1	1	2	0	0	0
93	323{323}	(0)	3	28.0331(1)	1	0	1	0	0	0
93	329{329}	(0)	3	28.0331(1)	2	1	1	0	0	0
94	329{329}	(0)	3	28.0432(1)	2	0	1	0	0	0
94	330{330}	(0)	3	28.0432(1)	1	1	2	0	0	0
95	330{330}	(0)	3	28.0533(1)	1	0	1	0	0	0
95	336{336}	(0)	3	28.0533(1)	2	1	1	0	0	0
96	336{336}	(0)	3	28.0634(1)	2	0	1	0	0	0
96	337{337}	(0)	3	28.0634(1)	1	1	2	0	0	0
97	337{337}	(0)	3	28.0736(1)	1	0	1	0	0	0
97	343{343}	(0)	3	28.0736(1)	2	1	1	0	0	0
98	343{343}	(0)	3	28.0837(1)	2	0	1	0	0	0
98	344{344}	(0)	3	28.0837(1)	1	1	2	0	0	0
99	344{344}	(0)	3	28.0938(1)	1	0	1	0	0	0
99	350{350}	(0)	3	28.0938(1)	4	1	3	0	0	0
100	350{350}	(0)	3	28.104(1)	4	0	3	0	0	0
100	351{351}	(0)	3	28.104(1)	1	1	4	0	0	0
101	351{351}	(0)	3	28.1141(1)	1	0	1	0	0	0
101	357{357}	(0)	3	28.1141(1)	2	1	1	0	0	0
102	357{357}	(0)	3	28.1243(1)	2	0	1	0	0	0
102	358{358}	(0)	3	28.1243(1)	1	1	2	0	0	0
103	358{358}	(0)	3	28.1345(1)	1	0	1	0	0	0
103	364{364}	(0)	3	28.1345(1)	4	1	3	0	0	0
104	364{364}	(0)	3	28.1446(1)	4	0	3	0	0	0
104	365{365}	(0)	3	28.1446(1)	1	1	4	0	0	0
105	365{365}	(0)	3	28.1548(1)	1	0	1	0	0	0
105	371{371}	(0)	3	28.1548(1)	3	1	2	0	0	0
106	371{371}	(0)	3	28.165(1)	3	0	2	0	0	0
106	372{372}	(0)	3	28.165(1)	1	1	3	0	0	0
107	372{372}	(0)	3	28.1752(1)	1	0	1	0	0	0
107	378{378}	(0)	3	28.1752(1)	3	1	2	0	0	0
108	378{378}	(0)	3	28.1854(1)	3	0	2	0	0	0
108	379{379}	(0)	3	28.1854(1)	1	1	3	0	0	0
109	379{379}	(0)	3	28.1956(1)	1	0	1	0	0	0
109	385{385}	(0)	3	28.1956(1)	1	1	1	0	0	0
110	385{385}	(0)	3	28.2058(1)	1	0	1	0	0	0
110	386{386}	(0)	3	28.2058(1)	1	1	2	0	0	0
111	386{386}	(0)	3	28.216(1)	1	0	1	0	0	0
111	392{392}	(0)	3	28.216(1)	1	1	2	0	0	0
112	392{392}	(0)	3	28.2263(1)	1	0	2	0	0	0
112	393{393}	(0)	3	28.2263(1)	1	1	3	0	0	0
113	393{393}	(0)	3	28.2365(1)	1	0	1	0	0	0
113	399{399}	(0)	3	28.2365(1)	4	1	3	0	0	0
114	399{399}	(0)	3	28.2467(1)	4	0	3	0	0	0
114	400{400}	(0)	3	28.2467(1)	1	1	4	0	0	0
115	400{400}	(0)	3	28.257(1)	1	0	1	0	0	0
115	406{406}	(0)	3	28.257(1)	4	1	3	0	0	0
116	406{406}	(0)	3	28.2672(1)	4	0	3	0	0	0
116	407{407}	(0)	3	28.2672(1)	1	1	4	0	0	0
117	407{407}	(0)	3	28.2775(1)	1	0	1	0	0	0
117	413{413}	(0)	3	28.2775(1)	1	1	3	0	0	0
118	413{413}	(0)	3	28.2878(1)	1	0	3	0	0	0
118	414{414}	(0)	3	28.2878(1)	1	1	4	0	0	0
119	414{414}	(0)	3	28.298(1)	1	0	1	0	0	0
119	420{420}	(0)	3	28.298(1)	3	1	2	0	0	0
120	420{420}	(0)	3	56.636(1)	3	0	2	0	0	0
120	421{421}	(0)	3	56.636(1)	2	1	3	0	0	0
121	421{421}	(0)	3	56.6463(1)	2	0	2	0	0	0
121	427{427}	(0)	3	56.6463(1)	3	1	2	0	0	0
122	427{427}	(0)	3	56.677(1)	3	0	2	0	0	0
122	428{428}	(0)	3	56.677(1)	2	1	3	0	0	0
123	428{428}	(0)	3	56.6873(1)	2	0	2	0	0	0
123	434{434}	(0)	3	56.6873(1)	5	1	4	0	0	0
124	434{434}	(0)	3	56.6976(1)	5	0	4	0	0	0
124	435{435}	(0)	3	56.6976(1)	2	1	5	0	0	0
125	435{435}	(0)	3	56.7079(1)	2	0	2	0	0	0
125	441{441}	(0)	3	56.7079(1)	5	1	4	0	0	0
126	441{441}	(0)	3	56.7183(1)	5	0	4	0	0	0
126	442{442}	(0)	3	56.7183(1)	2	1	5	0	0	0
127	442{442}	(0)	3	56.7286(1)	2	0	2	0	0	0
127	448{448}	(0)	3	56.7286(1)	5	1	4	0	0	0
128	448{448}	(0)	3	56.7389(1)	5	0	4	0	0	0
128	449{449}	(0)	3	56.7389(1)	2	1	5	0	0	0
129	449{449}	(0)	3	56.7493(1)	2	0	2	0	0	0
129	455{455}	(0)	3	56.7493(1)	2	1	4	0	0	0
130	455{455}	(0)	3	56.7596(1)	2	0	4	0	0	0
130	456{456}	(0)	3	56.7596(1)	2	1	5	0	0	0
131	456{456}	(0)	3	56.77(1)	2	0	2	0	0	0
131	462{462}	(0)	3	56.77(1)	5	1	4	0	0	0
132	462{462}	(0)	3	56.7803(1)	5	0	4	0	0	0
132	463{463}	(0)	3	56.7803(1)	2	1	5	0	0	0
133	463{463}	(0)	3	56.7907(1)	2	0	2	0	0	0
133	469{469}	(0)	3	56.7907(1)	5	1	4	0	0	0
134	469{469}	(0)	3	56.8011(1)	5	0	4	0	0	0
134	470{470}	(0)	3	56.8011(1)	2	1	5	0	0	0
135	470{470}	(0)	3	56.8115(1)	2	0	2	0	0	0
135	476{476}	(0)	3	56.8115(1)	5	1	4	0	0	0
136	476{476}	(0)	3	56.8218(1)	5	0	4	0	0	0
136	477{477}	(0)	3	56.8218(1)	2	1	5	0	0	0
137	477{477}	(0)	3	56.8322(1)	2	0	2	0	0	0
137	483{483}	(0)	3	56.8322(1)	2	1	2	0	0	0
138	483{483}	(0)	3	56.8426(1)	2	0	2	0	0	0
138	484{484}	(0)	3	56.8426(1)	2	1	3	0	0	0
139	484{484}	(0)	3	56.8531(1)	2	0	2	0	0	0
139	496{496}	(0)	3	56.8531(1)	4	1	3	0	0	0
140	496{496}	(0)	3	56.8635(1)	4	0	3	0	0	0
140	497{497}	(0)	3	56.8635(1)	2	1	4	0	0	0
141	497{497}	(0)	3	56.8739(1)	2	0	2	0	0	0
141	503{503}	(0)	3	56.8739(1)	2	1	2	0	0	0
142	503{503}	(0)	3	56.8843(1)	2	0	2	0	0	0
142	504{504}	(0)	3	56.8843(1)	2	1	3	0	0	0
143	504{504}	(0)	3	56.8948(1)	2	0	2	0	0	0
143	516{516}	(0)	3	56.8948(1)	4	1	3	0	0	0
144	516{516}	(0)	3	56.9052(1)	4	0	3	0	0	0
144	517{517}	(0)	3	56.9052(1)	2	1	4	0	0	0
145	517{517}	(0)	3	56.9157(1)	2	0	2	0	0	0
145	529{529}	(0)	3	56.9157(1)	4	1	3	0	0	0
146	529{529}	(0)	3	56.9261(1)	4	0	3	0	0	0
146	530{530}	(0)	3	56.9261(1)	2	1	4	0	0	0
147	530{530}	(0)	3	56.9366(1)	2	0	2	0	0	0
147	542{542}	(0)	3	56.9366(1)	4	1	3	0	0	0
148	542{542}	(0)	3	56.9471(1)	4	0	3	0	0	0
148	543{543}	(0)	3	56.9471(1)	2	1	4	0	0	0
149	543{543}	(0)	3	56.9576(1)	2	0	2	0	0	0
149	549{549}	(0)	3	56.9576(1)	5	1	4	0	0	0
150	549{549}	(0)	3	56.968(1)	5	0	4	0	0	0
150	550{550}	(0)	3	56.968(1)	2	1	5	0	0	0
151	550{550}	(0)	3	56.9785(1)	2	0	2	0	0	0
151	556{556}	(0)	3	56.9785(1)	2	1	4	0	0	0
152	556{556}	(0)	3	56.989(1)	2	0	4	0	0	0
152	557{557}	(0)	3	56.989(1)	2	1	5	0	0	0
153	557{557}	(0)	3	56.9996(1)	2	0	2	0	0	0
153	569{569}	(0)	3	56.9996(1)	4	1	3	0	0	0
154	569{569}	(0)	3	57.0101(1)	4	0	3	0	0	0
154	570{570}	(0)	3	57.0101(1)	2	1	4	0	0	0
155	570{570}	(0)	3	57.0206(1)	2	0	2	0	0	0
155	576{576}	(0)	3	57.0206(1)	5	1	4	0	0	0
156	576{576}	(0)	3	57.0311(1)	5	0	4	0	0	0
156	577{577}	(0)	3	57.0311(1)	2	1	5	0	0	0
157	577{577}	(0)	3	57.0417(1)	2	0	2	0	0	0
157	583{583}	(0)	3	57.0417(1)	3	1	2	0	0	0
158	583{583}	(0)	3	57.425(1)	3	0	2	0	0	0
158	584{584}	(0)	3	57.425(1)	2	1	3	0	0	0
159	584{584}	(0)	3	57.4355(1)	2	0	2	0	0	0
159	590{590}	(0)	3	57.4355(1)	3	1	2	0	0	0
160	590{590}	(0)	3	57.4671(1)	3	0	2	0	0	0
160	591{591}	(0)	3	57.4671(1)	2	1	3	0	0	0
161	591{591}	(0)	3	57.4777(1)	2	0	2	0	0	0
161	597{597}	(0)	3	57.4777(1)	3	1	2	0	0	0
162	597{597}	(0)	3	86.1877(1)	3	0	2	0	0	0
162	598{598}	(0)	3	86.1877(1)	4	1	3	0	0	0
163	598{598}	(0)	3	114.873(1)	4	0	3	0	0	0
163	604{604}	(0)	3	114.873(1)	5	1	3	0	0	0
164	604{604}	(0)	3	143.535(1)	5	0	3	0	0	0
164	605{605}	(0)	3	143.535(1)	6	1	4	0	0	0
165	605{605}	(0)	3	172.174(1)	6	0	4	0	0	0
165	611{611}	(0)	3	172.174(1)	7	1	4	0	0	0
166	611{611}	(0)	3	200.793(1)	7	0	4	0	0	0
166	612{612}	(0)	3	200.793(1)	8	1	5	0	0	0
167	612{612}	(0)	3	229.392(1)	8	0	5	0	0	0
167	618{618}	(0)	3	229.392(1)	10	1	6	0	0	0
168	618{618}	(0)	3	229.403(1)	10	0	6	0	0	0
168	619{619}	(0)	3	229.403(1)	8	1	7	0	0	0
169	619{619}	(0)	3	229.414(1)	8	0	5	0	0	0
169	625{625}	(0)	3	229.414(1)	9	1	5	0	0	0
170	625{625}	(0)	3	258.017(1)	9	0	5	0	0	0
170	626{626}	(0)	3	258.017(1)	10	1	6	0	0	0
171	626{626}	(0)	3	286.602(1)	10	0	6	0	0	0
171	632{632}	(0)	3	286.602(1)	11	1	6	0	0	0
172	632{632}	(0)	3	315.171(1)	11	0	6	0	0	0
172	633{633}	(0)	3	315.171(1)	12	1	7	0	0	0
173	633{633}	(0)	3	343.726(1)	12	0	7	0	0	0
173	639{639}	(0)	3	343.726(1)	14	1	8	0	0	0
174	639{639}	(0)	3	372.307(1)	14	0	8	0	0	0
174	640{640}	(0)	3	372.307(1)	13	1	9	0	0	0
175	640{640}	(0)	3	372.319(1)	13	0	8	0	0	0
175	646{646}	(0)	3	372.319(1)	12	1	8	0	0	0
176	646{646}	(0)	3	343.784(1)	12	0	8	0	0	0
176	647{647}	(0)	3	343.784(1)	12	1	9	0	0	0
177	647{647}	(0)	3	343.807(1)	12	0	7	0	0	0
177	659{659}	(0)	3	343.807(1)	14	1	9	0	0	0
178	659{659}	(0)	3	343.819(1)	14	0	9	0	0	0
178	660{660}	(0)	3	343.819(1)	11	1	10	0	0	0
179	660{660}	(0)	3	315.238(1)	11	0	7	0	0	0
179	666{666}	(0)	3	315.238(1)	12	1	8	0	0	0
180	666{666}	(0)	3	315.294(1)	12	0	8	0	0	0
180	667{667}	(0)	3	315.294(1)	11	1	9	0	0	0
181	667{667}	(0)	3	315.306(1)	11	0	8	0	0	0
181	673{673}	(0)	3	315.306(1)	11	1	7	0	0	0
182	673{673}	(0)	3	286.75(1)	11	0	7	0	0	0
182	674{674}	(0)	3	286.75(1)	10	1	8	0	0	0
183	674{674}	(0)	3	286.762(1)	10	0	7	0	0	0
183	680{680}	(0)	3	286.762(1)	10	1	7	0	0	0
184	680{680}	(0)	3	286.796(1)	10	0	7	0	0	0
184	681{681}	(0)	3	286.796(1)	10	1	8	0	0	0
185	681{681}	(0)	3	286.886(1)	10	0	6	0	0	0
185	687{687}	(0)	3	286.886(1)	12	1	7	0	0	0
186	687{687}	(0)	3	286.897(1)	12	0	7	0	0	0
186	688{688}	(0)	3	286.897(1)	9	1	8	0	0	0
187	688{688}	(0)	3	258.215(1)	9	0	6	0	0	0
187	694{694}	(0)	3	258.215(1)	12	1	8	0	0	0
188	694{694}	(0)	3	258.226(1)	12	0	8	0	0	0
188	695{695}	(0)	3	258.226(1)	9	1	9	0	0	0
189	695{695}	(0)	3	258.238(1)	9	0	6	0	0	0
189	701{701}	(0)	3	258.238(1)	9	1	5	0	0	0
190	701{701}	(0)	3	229.56(1)	9	0	5	0	0	0
190	702{702}	(0)	3	229.56(1)	8	1	6	0	0	0
191	702{702}	(0)	3	229.572(1)	8	0	5	0	0	0
191	708{708}	(0)	3	229.572(1)	8	1	5	0	0	0
192	708{708}	(0)	3	229.583(1)	8	0	5	0	0	0
192	709{709}	(0)	3	229.583(1)	8	1	6	0	0	0
193	709{709}	(0)	3	229.595(1)	8	0	5	0	0	0
193	715{715}	(0)	3	229.595(1)	8	1	5	0	0	0
194	715{715}	(0)	3	229.606(1)	8	0	5	0	0	0
194	716{716}	(0)	3	229.606(1)	8	1	6	0	0	0
195	716{716}	(0)	3	229.617(1)	8	0	5	0	0	0
195	722{722}	(0)	3	229.617(1)	8	1	5	0	0	0
196	722{722}	(0)	3	229.629(1)	8	0	5	0	0	0
196	723{723}	(0)	3	229.629(1)	8	1	6	0	0	0
197	723{723}	(0)	3	229.64(1)	8	0	5	0	0	0
197	729{729}	(0)	3	229.64(1)	9	1	5	0	0	0
198	729{729}	(0)	3	229.652(1)	9	0	5	0	0	0
198	730{730}	(0)	3	229.652(1)	8	1	6	0	0	0
199	730{730}	(0)	3	229.663(1)	8	0	5	0	0	0
199	736{736}	(0)	3	229.663(1)	9	1	5	0	0	0
200	736{736}	(0)	3	229.675(1)	9	0	5	0	0	0
200	737{737}	(0)	3	229.675(1)	8	1	6	0	0	0
201	737{737}	(0)	3	229.686(1)	8	0	5	0	0	0
201	743{743}	(0)	3	229.686(1)	8	1	5	0	0	0
202	743{743}	(0)	3	229.698(1)	8	0	5	0	0	0
202	744{744}	(0)	3	229.698(1)	8	1	6	0	0	0
203	744{744}	(0)	3	229.709(1)	8	0	5	0	0	0
203	750{750}	(0)	3	229.709(1)	8	1	5	0	0	0
204	750{750}	(0)	3	229.721(1)	8	0	5	0	0	0
204	751{751}	(0)	3	229.721(1)	8	1	6	0	0	0
205	751{751}	(0)	3	229.733(1)	8	0	5	0	0	0
205	757{757}	(0)	3	229.733(1)	9	1	5	0	0	0
206	757{757}	(0)	3	229.744(1)	9	0	5	0	0	0
206	758{758}	(0)	3	229.744(1)	8	1	6	0	0	0
207	758{758}	(0)	3	229.756(1)	8	0	5	0	0	0
207	764{764}	(0)	3	229.756(1)	9	1	5	0	0	0
208	764{764}	(0)	3	229.767(1)	9	0	5	0	0	0
208	765{765}	(0)	3	229.767(1)	8	1	6	0	0	0
209	765{765}	(0)	3	229.779(1)	8	0	5	0	0	0
209	777{777}	(0)	3	229.779(1)	8	1	5	0	0	0
210	777{777}	(0)	3	229.791(1)	8	1	5	0	0	0
210	778{778}	(0)	3	229.791(1)	8	2	6	0	0	0
211	778{778}	(0)	3	229.802(1)	8	0	5	0	0	0
211	790{790}	(0)	3	229.802(1)	11	1	7	0	0	0
212	790{790}	(0)	3	229.814(1)	11	0	7	0	0	0
212	791{791}	(0)	3	229.814(1)	8	1	8	0	0	0
213	791{791}	(0)	3	229.826(1)	8	0	5	0	0	0
213	797{797}	(0)	3	229.826(1)	8	1	5	0	0	0
